TRIPID,WALK,CYCLE,RAIL,BUS,DRIVE,PASSENGER,TAXI,OTHER
23218,0.1818352712759882,0.08381497093956769,0.22651656878344362,0.04188713297058,0.26481737697705543,0.10365433714197003,0.039389308394002676,0.05808503351739236
23263,0.0978772653536426,0.05813664550942832,0.306132934373165,0.3069567376621464,0.10566342486756619,0.05481723715850384,0.06466087602160464,0.005754879053943007
23264,0.2502675084574929,0.09151915607916195,0.07581583761167221,0.29518949738443745,0.05617184279337695,0.11824786454990999,0.029652642882142977,0.08313565024180558
23265,0.36122804206858516,0.10174422039004127,0.12230981052587697,0.001761172454006532,0.015343763296709279,0.23232838762345587,0.12631346894980933,0.038971134691515585
23266,0.06338479062066704,0.20654063443999837,0.3517223640359082,0.10068664926749848,0.06857733975642089,0.019855592646294995,0.12544348982878162,0.06378913940443043
23267,0.023551834723598786,0.0553767347790276,0.032254356259100114,0.2549254341533036,0.17025754891374167,0.08484907622838755,0.20916615344472866,0.169618861498112
23268,0.41725146697189286,0.09252440419584784,0.0603471234646753,0.11074676247475668,0.03416989687342309,0.11144423509973567,0.05675734256308018,0.11675876835658838
23269,0.2923274372779123,0.04064821803835916,0.11917958934736217,0.1669012553232211,0.24216647395259772,0.07922841902405486,0.007322730890563345,0.05222587614592933
23270,0.3273659244506273,0.023565153505635372,0.05344191586049862,0.021201070462675053,0.07189639114634139,0.14190254626869503,0.29563160546854683,0.06499539283698041
23271,0.00880636651329636,0.15229250889743018,0.07638452559509645,0.048860931060935475,0.04610865870089509,0.20257415095880793,0.19486716254544167,0.27010569572809684
23272,0.243920377822329,0.03405172556293423,0.18906333785377172,0.04526372186836458,0.015717306258214436,0.18489200329811173,0.26148072391279586,0.025610803423478434
23273,0.26272985405256355,0.020055220081112823,0.2392170375934738,0.2114005395090912,0.07594680351493455,0.026311550074453738,0.028549171811431795,0.13578982336293854
23274,0.23457905266861,0.22935335760616504,0.034133857810700996,0.04735899161371937,0.02310889129927962,0.03997204556394551,0.02814810345916685,0.3633456999784126
23275,0.347420280297586,0.034146015421283926,0.0002707135732216148,0.0026049313381936168,0.19588444055631526,0.2375754760390829,0.1543102669865628,0.02778787578775388
23276,0.030094394792644086,0.059675080938218716,0.13013353783398263,0.15655560864522966,0.13747586514526344,0.2027709876890259,0.20852021457879366,0.0747743103768419
23277,0.09018371705254935,0.20030434754083282,0.13240185464321175,0.07227083984929028,0.030409943372436965,0.25829948783015955,0.06011064287376178,0.15601916683775752
23278,0.00858230718308739,0.14362005732244976,0.16205615976623045,0.039156717981497335,0.17957657116110604,0.07657534463222404,0.25148882708750075,0.13894401486590424
23279,0.1468633409663601,0.043044797352030484,0.0363922666728459,0.007953921316043111,0.3278768946356768,0.3895232668127695,0.03367448476053447,0.014671027483739607
23280,0.003972257612538943,0.4666092173139491,0.03641247046168794,0.11830222039922356,0.07102747575092905,0.04195490922136724,0.07115660435834148,0.19056484488196268
23281,0.2604309531172767,0.10621394924291727,0.1908869243028225,0.060412154581407695,0.064113733910652,0.14330914673956863,0.10410112192021104,0.07053201618514415
23282,0.020623795073728024,0.08174167720695025,0.09462006865742267,0.23721694554239814,0.008515414662051524,0.04069804764278906,0.003898195955277295,0.512685855259383
23283,0.013508722771562232,0.29949485253764263,0.06432526896289037,0.2050450030736053,0.04038497171924871,0.241650904537971,0.0215084949068739,0.11408178149020587
23284,0.15763436263980768,0.13746159181886042,0.09522603988782918,0.08093753073957188,0.032310062728376554,0.02973791770219758,0.3817825794205043,0.08490991506285239
